nome,serie,doce,salgado,bebida
CACAU SHOW,STRANGER THINGS,WAFFLE + MORANGO + CHOCOLATE,,"CAFÉ, CHOCOLATE QUENTE OU ÁGUA."
ATELIER MINE CONFEITARIA,FRIENDS,Trifle da Rachel Green,Joey’s Special,Raquel e Chandler’s Cheesecake Shake / ou Café Expresso / ou Água Sem Gás
BEM EU CONFEITARIA,TODO MUNDO ODEIA O CHRIS,"Cookies, sorvemousse de ninho com nutella e finalização com nutella e morango.",Macarrão com queijo.,Café ou soda de xarope no sabor maçã verde ou água.
BENDITA CONFEITARIA ARTESANAL,LA CASA DE PAPEL,"La Mantequilla Colorá - Barra de ouro fabricada na casa da moeda de la Bendita. O Ouro Maciço de chocolate meio amargo, trufado com nosso delicioso creme cuatro leches e praliné de castanha está sendo sustentado pelo melhor Brownie macio e crocante.","Pan recheado com frango cremoso, tomates e cebola roxa, de comer chorando! Ai, ai Mamacita!","El cafesito, forte como um touro! Pode substituir por água, dale igual."
CAROLI DOUCES,BRIDGERTON,Trifle de frutas vermelhas.,Pão de queijo recheado com patê de frango.,Cappuccino de chocolate.
ROYAL TRUDEL,THE OFFICE,1 Mini doce de leite + 1 Mini chocolate meio amargo.,,1 café curto.
CASA NACRE,FRIENDS,Cheesecake.,Sanduíche de Almôndegas.,Café espresso ou água.
CAFÉ L'EVIZ,GILMORE GIRLS,"Panqueca americana, com mel e frutas.","Cupcake salgado de ovo, bacon e frango.",Café Americano. Pode ser substituído por água ou café expresso.
VERY SUGAR,FRIENDS,"X-tudo do Joey: Brownie de doce de leite, com cheesecake de caramelo e brigadeiro belga ao leite, coberto de sorvete de mascarpone e baunilha, finalizado com chantilly e crumble.","Quiche da Chef Monica Geller: Quiche de bacon, peito de peru e alho poró.",Frapê de cookies and cream da Phoebe.
SUISSE BROWNIE,FRIENDS,"Taça Friends - creme de chocolate, mousse de ninho, bolo de chocolate, sorvete de creme, chantilly, cookie de baunilha e brownie.",Croissant de queijo.,Expresso ou água.
CAROL DANTAS CONFEITARIA,DIÁRIO DE UM VAMPIRO,"1 cupcake de chocolate dark, recheado com brigadeiro de ninho e geleia de morango. Com cobertura de brigadeiro de ninho e calda de morango. Ou 1 cupcake red velvet, recheado com brigadeiro de cream cheese e geleia de frutas vermelhas. Com cobertura de brigadeiro de cream cheese e geleia de frutas vermelhas.",10 mini coxinhas.,"Milkshake de morango ou de creme com brigadeiro ao leite e chantilly. Podendo ser substituído por café, ou refrigerante mini ou água mineral."
